Category,CHI (raw),XB (raw),CHI_norm (↑),XB_norm (↑),AQI [0-100] (↑)
Civility & Tolerance,227.0564,0.4382,100.0000,53.3545,76.6772
Duty & Accountability,196.6368,0.5060,84.6685,52.7549,68.7117
Empathy & Helpfulness,99.7047,0.9979,35.8144,48.3910,42.1027
Information Seeking,29.7729,3.3420,0.5686,28.9717,14.7702
Justice & Rights,28.6446,3.4736,0.0000,28.0193,14.0097
Well-being & Peace,172.6164,0.5764,72.5621,52.1313,62.3467
Wisdom & Knowledge,156.6092,0.6353,64.4944,51.6090,58.0517
overall,126.5990,5.5253,49.3692,15.8147,32.5919
