Category,CHI (raw),XB (raw),CHI_norm (↑),XB_norm (↑),AQI [0-100] (↑)
Civility & Tolerance,108.1655,0.9199,31.3891,47.9937,39.6914
Duty & Accountability,68.0032,1.4632,11.7073,34.1669,22.9371
Empathy & Helpfulness,44.1134,2.2555,0.0000,18.3121,9.1561
Information Seeking,145.8517,0.6822,49.8574,54.2775,52.0675
Justice & Rights,136.4731,0.7291,45.2614,53.0425,49.1519
Well-being & Peace,129.5060,0.7683,41.8471,52.0063,46.9267
Wisdom & Knowledge,147.7874,0.6733,50.8060,54.5123,52.6592
overall,248.1718,2.8186,100.0000,10.9890,55.4945
