Category,CHI (raw),XB (raw),CHI_norm (↑),XB_norm (↑),AQI [0-100] (↑)
Civility & Tolerance,200.0103,0.4975,45.8897,59.7010,52.7954
Duty & Accountability,95.5571,1.0413,5.2813,32.7778,19.0296
Empathy & Helpfulness,81.9725,1.2138,0.0000,25.5234,12.7617
Information Seeking,160.8539,0.6186,30.6669,53.6322,42.1496
Justice & Rights,130.7463,0.7610,18.9619,46.3678,32.6648
Well-being & Peace,189.1236,0.5261,41.6573,58.2854,49.9714
Wisdom & Knowledge,160.9905,0.6180,30.7200,53.6589,42.1894
overall,339.1929,2.0622,100.0000,10.0000,55.0000
