Category,CHI (raw),XB (raw),CHI_norm (↑),XB_norm (↑),AQI [0-100] (↑)
Civility & Tolerance,84.6196,1.1759,17.7497,46.9296,32.3396
Duty & Accountability,67.3103,1.4782,2.1517,38.5469,20.3493
Empathy & Helpfulness,64.9226,1.5326,0.0000,37.0950,18.5475
Information Seeking,103.7213,0.9593,34.9630,53.0704,44.0167
Justice & Rights,175.8934,0.5657,100.0000,63.8769,81.9384
Well-being & Peace,162.6845,0.6116,88.0970,62.6647,75.3808
Wisdom & Knowledge,162.9722,0.6105,88.3562,62.6934,75.5248
overall,122.2406,5.7223,51.6514,10.0000,30.8257
