Category,CHI (raw),XB (raw),CHI_norm (↑),XB_norm (↑),AQI [0-100] (↑)
Civility & Tolerance,133.5792,0.7449,64.0398,53.3893,58.7146
Duty & Accountability,36.6832,2.7124,5.4370,30.2833,17.8601
Empathy & Helpfulness,27.6935,3.5929,0.0000,21.9641,10.9821
Information Seeking,104.0589,0.9562,46.1859,50.7910,48.4884
Justice & Rights,103.9956,0.9568,46.1476,50.7838,48.4657
Well-being & Peace,91.7876,1.0840,38.7642,49.2162,43.9902
Wisdom & Knowledge,193.0371,0.5154,100.0000,56.1893,78.0946
overall,63.3686,11.0386,21.5763,10.0000,15.7882
