method,instruction_type,n,mean,ci_lo,ci_hi,ci_half
SFT_NoInstruct,neutral,300,0.0581699697083431,0.05348552878253223,0.0635287110199173,0.005021591118692537
SFT_NoInstruct,conservative,300,0.061734695671803855,0.05655618329713712,0.06762976028815618,0.005536788495509527
SFT_NoInstruct,liberal,300,0.06270706184606975,0.05779620540409962,0.06837031099195856,0.005287052793929471
SFT_NoInstruct,regulatory_aware,300,0.06377110554816123,0.05875363922531326,0.0698012727799959,0.005523816777341321
SFT_NoInstruct,empathetic,300,0.061326979808859185,0.056236507946897836,0.06703886348762433,0.005401177770363249
SFT_NoInstruct,safety_first,300,0.06810422830560602,0.06242630349980084,0.07457256397178842,0.00607313023599379
SFT_NoInstruct,educational,300,0.05780618488321674,0.05311135032935572,0.06340765354059864,0.005148151605621463
SFT_NoInstruct,concise,300,0.0630543872710331,0.05782319818468278,0.06906689165404194,0.005621846734679577
SFT_NoInstruct,professional,300,0.06188047128118799,0.056891669723920214,0.06747067450644989,0.005289502391264838
SFT_NoInstruct,creative,300,0.0571239494375996,0.05235861386385149,0.06286106341377137,0.005251224774959942
SFT_Instruct,neutral,300,0.05993710357848459,0.0561945004552793,0.06452334371480299,0.004164421629761845
SFT_Instruct,conservative,300,0.07214326649707119,0.06694012626405141,0.07789674659441397,0.0054783101651812785
SFT_Instruct,liberal,300,0.07219228159074519,0.06668041245058919,0.07827198194054957,0.005795784744980194
SFT_Instruct,regulatory_aware,300,0.08514367946805868,0.07913289696887951,0.09111758642590045,0.005992344728510471
SFT_Instruct,empathetic,300,0.07340189239513846,0.06800093201035934,0.07915780956038723,0.005578438775013947
SFT_Instruct,safety_first,300,0.07404087716866296,0.0687718720112302,0.08034662747399623,0.00578737773138302
SFT_Instruct,educational,300,0.06330714577317108,0.05869735070151395,0.06880472768561424,0.005053688492050144
SFT_Instruct,concise,300,0.062327276195205554,0.05771368264678081,0.06793776489423872,0.005112041123728955
SFT_Instruct,professional,300,0.06297216941879911,0.058233818092269185,0.06842270834212315,0.0050944451249269815
SFT_Instruct,creative,300,0.07041187144693511,0.06540879597791498,0.0759365992016176,0.005263901611851314
DPO_NoInstruct,neutral,300,0.11567010499860049,0.1056050830437637,0.12742068721768607,0.010907802086961182
DPO_NoInstruct,conservative,300,0.11182420086477605,0.10304872258204054,0.12237513377500936,0.009663205596484412
DPO_NoInstruct,liberal,300,0.11498677317833739,0.10527304771867417,0.1265133567392416,0.010620154510283718
DPO_NoInstruct,regulatory_aware,300,0.10468305595874493,0.09638260377310814,0.11435252462153078,0.008984960424211319
DPO_NoInstruct,empathetic,300,0.10730168935174579,0.0971862096805064,0.11978105816357905,0.011297424241536326
DPO_NoInstruct,safety_first,300,0.1199349681480209,0.10943290144607745,0.1321468994499138,0.01135699900191818
DPO_NoInstruct,educational,300,0.10078817226044799,0.09187541703777893,0.11203470805489045,0.010079645508555758
DPO_NoInstruct,concise,300,0.11107069676745723,0.10144868043500165,0.12219024537169529,0.010370782468346822
DPO_NoInstruct,professional,300,0.11232398346228106,0.10202923563550395,0.12468732932499234,0.011329046844744194
DPO_NoInstruct,creative,300,0.10373333340297411,0.09482105037541864,0.11438804277817172,0.009783496201376536
DPO_Instruct,neutral,300,0.21387837735464474,0.2006068134429052,0.22804934098727114,0.013721263772182968
DPO_Instruct,conservative,300,0.23334561818925584,0.2213607859861238,0.24602860172178945,0.012333907867832825
DPO_Instruct,liberal,300,0.21643080065132622,0.20447006815106405,0.22906507861632763,0.012297505232631789
DPO_Instruct,regulatory_aware,300,0.19836696519801597,0.1874376154058216,0.21007100178653026,0.011316693190354332
DPO_Instruct,empathetic,300,0.2368366960446119,0.22474883357318715,0.24936438803862565,0.012307777232719253
DPO_Instruct,safety_first,300,0.2327073749188247,0.22018805454439844,0.24502592447090998,0.012418934963255773
DPO_Instruct,educational,300,0.2250964274644268,0.21195796082169133,0.23869327432156634,0.013367656749937507
DPO_Instruct,concise,300,0.1859911841147188,0.1750854704080013,0.19789404164759905,0.011404285619798879
DPO_Instruct,professional,300,0.2459015271297267,0.2308250990474066,0.2615001970559067,0.01533754900425005
DPO_Instruct,creative,300,0.2176496265770722,0.2046824136157618,0.23079595312473264,0.013056769754485414
PPO_NoInstruct,neutral,300,0.11814859833917059,0.10869414323624717,0.12916282149775882,0.010234339130755825
PPO_NoInstruct,conservative,300,0.13006512047782115,0.11927372706209659,0.14270564730703603,0.01171596012246972
PPO_NoInstruct,liberal,300,0.12090177060150435,0.11115059256746489,0.13235283790666055,0.010601122669597833
PPO_NoInstruct,regulatory_aware,300,0.12649171500113646,0.11685989016751049,0.1378966736207048,0.010518391726597152
PPO_NoInstruct,empathetic,300,0.12311972978538757,0.11267541078895475,0.13550939184231017,0.01141699052667771
PPO_NoInstruct,safety_first,300,0.13066578898279682,0.12043226340386269,0.14252420881155298,0.011045972703845143
PPO_NoInstruct,educational,300,0.11617309517680541,0.10598476714222246,0.1274950844936032,0.010755158675690366
PPO_NoInstruct,concise,300,0.11525784259190253,0.10592417649763633,0.12660985705816294,0.010342840280263305
PPO_NoInstruct,professional,300,0.1201545668876554,0.11050548002625192,0.1315844285405399,0.010539474257143987
PPO_NoInstruct,creative,300,0.13658462483331163,0.12477625375375827,0.15047438411901598,0.012849065182628856
PPO_Instruct,neutral,300,0.20984982651227232,0.19770104500188887,0.2229494139426341,0.012624184470372612
PPO_Instruct,conservative,300,0.22717824573315426,0.21458524443662352,0.23993272919582992,0.012673742379603198
PPO_Instruct,liberal,300,0.21398889536632518,0.20106854735706453,0.22716723318568388,0.013049342914309675
PPO_Instruct,regulatory_aware,300,0.20631931793467956,0.19503777183635898,0.2182199611504171,0.011591094657029066
PPO_Instruct,empathetic,300,0.22248777815622778,0.21041812506750346,0.23501020042892468,0.012296037680710609
PPO_Instruct,safety_first,300,0.21164542278277698,0.1990505866155129,0.2250144344965586,0.01298192394052286
PPO_Instruct,educational,300,0.1998277889420542,0.18734268885773692,0.2125009423909235,0.012579126766593285
PPO_Instruct,concise,300,0.18994581162658142,0.17831122453870757,0.20309104463976538,0.012389910050528904
PPO_Instruct,professional,300,0.24373765543048914,0.2288116859650579,0.2597569490155769,0.01547263152525949
PPO_Instruct,creative,300,0.21061976646057495,0.19907119940275564,0.2237248214068132,0.012326811002028787
GRPO_NoInstruct,neutral,300,0.12104287954620126,0.11175590478521441,0.13153359246430762,0.009888843839546607
GRPO_NoInstruct,conservative,300,0.11889500783446012,0.10992456290181787,0.1294693174544272,0.009772377276304658
GRPO_NoInstruct,liberal,300,0.12721529948110746,0.11684459074178061,0.13878850785558303,0.01097195855690121
GRPO_NoInstruct,regulatory_aware,300,0.12860297048648392,0.11879753063874861,0.14030909593378801,0.010755782647519703
GRPO_NoInstruct,empathetic,300,0.1333108131712306,0.12193993558445598,0.14692009859394298,0.012490081504743497
GRPO_NoInstruct,safety_first,300,0.1308671813208861,0.11989102915876314,0.14392670985001144,0.01201784034562415
GRPO_NoInstruct,educational,300,0.1271655091176008,0.11586429492512271,0.1397856147213771,0.011960659898127196
GRPO_NoInstruct,concise,300,0.12544464094375346,0.11438128527868911,0.1384915837601185,0.012055149240714692
GRPO_NoInstruct,professional,300,0.12013760098611695,0.11022218296995527,0.13173032691354927,0.010754071971797001
GRPO_NoInstruct,creative,300,0.12609691902583284,0.11567485495726662,0.13791703338931027,0.011121089216021826
GRPO_Instruct,neutral,300,0.21401516348083902,0.20041445637453634,0.22757208915616925,0.013578816390816456
