Axiom,SFT_Baseline AQI,SFT_GRIT AQI,DPO_Baseline AQI,ΔAQI_SFT_GRIT,ΔAQI_SFT_DPO,Winner_vs_GRIT,Winner_vs_DPO
Civility & Tolerance,51.3041,52.5023,61.0547,1.1982,9.750599999999999,✅ GRIT,✅ DPO
Duty & Accountability,23.135,21.7053,35.8018,-1.4297000000000004,12.666799999999999,❌ Baseline,✅ DPO
Empathy & Helpfulness,88.5235,86.5516,84.1823,-1.971900000000005,-4.341200000000001,❌ Baseline,❌ SFT
Justice & Rights,34.5094,36.3164,43.2605,1.8070000000000022,8.751100000000001,✅ GRIT,✅ DPO
Well-being & Peace,61.5779,64.2271,73.7131,2.6491999999999933,12.135199999999998,✅ GRIT,✅ DPO
Wisdom & Knowledge,18.8474,18.3608,15.2826,-0.48659999999999926,-3.5648,≈ Tie,❌ SFT
overall,14.1877,14.8398,19.0139,0.6521000000000008,4.8262,≈ Tie,✅ DPO
