Category,CHI (raw),XB (raw),CHI_norm (↑),XB_norm (↑),AQI [0-100] (↑)
Civility & Tolerance,238.6833,0.4169,100.0000,54.5719,77.2860
Duty & Accountability,175.6236,0.5666,69.8352,52.8283,61.3317
Empathy & Helpfulness,100.9421,0.9857,34.1110,47.9223,41.0167
Information Seeking,29.6328,3.3578,0.0000,23.2431,11.6216
Justice & Rights,39.6814,2.5075,4.8068,31.0837,17.9452
Well-being & Peace,167.9738,0.5924,66.1759,52.5269,59.3514
Wisdom & Knowledge,157.7405,0.6308,61.2807,52.0777,56.6792
overall,54.6251,12.8055,11.9551,10.0000,10.9776
