Category,CHI (raw),XB (raw),CHI_norm (↑),XB_norm (↑),AQI [0-100] (↑)
Civility & Tolerance,36.6564,1.3504,40.0202,48.5201,44.2702
Duty & Accountability,63.5773,0.7786,100.0000,58.2171,79.1086
Empathy & Helpfulness,21.1256,2.3431,5.4174,32.3463,18.8818
Information Seeking,18.6941,2.6479,0.0000,27.9639,13.9819
Justice & Rights,49.2383,1.0053,68.0526,54.4057,61.2292
Well-being & Peace,42.0507,1.1772,52.0386,51.4799,51.7592
Wisdom & Knowledge,61.0852,0.8103,94.4475,57.6880,76.0678
overall,25.1353,13.9047,14.3512,10.0000,12.1756
