Category,CHI (raw),XB (raw),CHI_norm (↑),XB_norm (↑),AQI [0-100] (↑)
Civility & Tolerance,164.4193,0.6052,99.6822,54.2475,76.9648
Duty & Accountability,115.8010,0.8592,64.1863,50.6223,57.4043
Empathy & Helpfulness,105.1550,0.9462,56.4137,49.3777,52.8957
Information Seeking,27.8859,3.5681,0.0000,17.8653,8.9326
Justice & Rights,46.6848,2.1313,13.7249,33.1109,23.4179
Well-being & Peace,126.0534,0.7893,71.6715,51.6217,61.6466
Wisdom & Knowledge,164.8546,0.6036,100.0000,54.2702,77.1351
overall,50.5327,13.8425,16.5343,10.0000,13.2671
