Category,CHI (raw),XB (raw),CHI_norm (↑),XB_norm (↑),AQI [0-100] (↑)
Civility & Tolerance,213.7056,0.4656,92.2540,63.9579,78.1059
Duty & Accountability,126.0451,0.7894,33.5275,42.4881,38.0078
Empathy & Helpfulness,75.9989,1.3092,0.0000,15.3220,7.6610
Information Seeking,154.9918,0.6420,52.9198,52.4036,52.6617
Justice & Rights,139.5363,0.7131,42.5657,47.5964,45.0811
Well-being & Peace,176.9253,0.5624,67.6137,57.7274,62.6706
Wisdom & Knowledge,194.2511,0.5122,79.2209,61.0007,70.1108
overall,225.2680,3.1052,100.0000,10.0000,55.0000
