Category,CHI (raw),XB (raw),CHI_norm (↑),XB_norm (↑),AQI [0-100] (↑)
Civility & Tolerance,445.8813,0.2232,100.0000,63.1462,81.5731
Duty & Accountability,198.3509,0.5016,26.5722,50.2591,38.4157
Empathy & Helpfulness,114.5275,0.8688,1.7067,33.4942,17.6004
Information Seeking,108.7742,0.9147,0.0000,31.5817,15.7908
Justice & Rights,194.1205,0.5126,25.3173,49.7409,37.5291
Well-being & Peace,368.5153,0.2700,77.0500,61.0556,69.0528
Wisdom & Knowledge,261.4072,0.3806,45.2773,55.9675,50.6224
overall,328.8152,2.1273,65.2733,10.0000,37.6367
